Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
52,tt0327056,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2003[/blue]
[purple]Golden Globe BP Nominee - 2003[/purple]",Mystic River,https://www.imdb.com/title/tt0327056/,movie,7.9,138,2003,"Crime, Drama, Mystery, Thriller",407452,2003-05-23,Clint Eastwood
53,tt0329575,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2003[/blue]
[purple]Golden Globe BP Nominee - 2003[/purple]",Seabiscuit,https://www.imdb.com/title/tt0329575/,movie,7.3,140,2003,"Drama, History, Sport",65012,2003-07-22,Gary Ross
54,tt0299658,2011-05-03,2011-05-03,[b][blue]Academy Award BP Winner - 2002[/blue][/b],Chicago,https://www.imdb.com/title/tt0299658/,movie,7.1,113,2002,"Comedy, Crime, Musical",210532,2002-12-10,Rob Marshall
55,tt0274558,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2002[/blue]
[b][purple]Golden Globe BP Winner - 2002[/purple][/b]",The Hours,https://www.imdb.com/title/tt0274558/,movie,7.5,110,2002,"Drama, Romance",121369,2002-12-15,Stephen Daldry
56,tt0257360,2011-05-03,2011-05-03,[purple]Golden Globe BP Nominee - 2002[/purple],About Schmidt,https://www.imdb.com/title/tt0257360/,movie,7.1,125,2002,"Comedy, Drama",120451,2002-05-22,Alexander Payne
57,tt0217505,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2002[/blue]
[purple]Golden Globe BP Nominee - 2002[/purple]",Gangs of New York,https://www.imdb.com/title/tt0217505/,movie,7.5,167,2002,"Crime, Drama",392503,2002-12-09,Martin Scorsese
58,tt0167261,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2002[/blue]
[purple]Golden Globe BP Nominee - 2002[/purple]",The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,movie,8.7,179,2002,"Adventure, Drama, Fantasy",1434023,2002-12-05,Peter Jackson
59,tt0253474,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2002[/blue]
[purple]Golden Globe BP Nominee - 2002[/purple]",The Pianist,https://www.imdb.com/title/tt0253474/,movie,8.5,150,2002,"Biography, Drama, Music, War",697352,2002-05-24,Roman Polanski
60,tt0268978,2011-05-03,2011-05-03,"[b][blue]Academy Award BP Winner - 2001[/blue][/b]
[b][purple]Golden Globe BP Winner - 2001[/purple][/b]",A Beautiful Mind,https://www.imdb.com/title/tt0268978/,movie,8.2,135,2001,"Biography, Drama",818150,2001-12-13,Ron Howard
61,tt0280707,2011-05-03,2011-05-03,[blue]Academy Award BP Nominee - 2001[/blue],Gosford Park,https://www.imdb.com/title/tt0280707/,movie,7.2,131,2001,"Comedy, Drama, Mystery",77867,2001-11-07,Robert Altman
